"all NPX genes","Neuron proteome
(whole genome)","NPX neuron
proteome","Matos neuron genes","Matos neuron genes expressed in spermatids","Brain genes form Human protein atlas","","","","","Multi copy genes","all post.mei.expr.
X genes","MSCI genes","MSCI-escaping","Primate codeml
site model","","cDEG","nDEG","Ampliconic or
multicopy in
some primates","Gametologs in
some primates","Subject to somatic
X inactivation (XI)","Escaping somatic
X inactivation (XI)","X genes uncertain
XI status","Union of certain 
and uncertain 
XI status","Expression modulated by
Xi copy number
(Fibroblast)","Expression modulated by
Xi copy number
(LCL)","X-chromosome genes associated with regional SA phenotypes","","","","","","","Candidate for
explaining human
and baboon
sweeps","Overlapping 
human sweeps
(75% ECH regions)","Overlapping
human sweeps
(90% ECH regions)","Genes with 
accelerated
regions
Simiiformes branch","X SFARI genes
(including all
confidence levels)","Intellectual disability
or Seizures 
or Language impairment","Intelectual
disbility","","","","","","","nDEG without 75%
ECH genes","","","Matos neuron 
genes expressed
in spermatids
Excl. xy gametologs","X genes uncertain
XI status
Excl. xy gametologs","","","","","","","","","","","","","",""
"all_npx","neuron_genome_proteome","neuron_npx_proteome","matos_neuron","matos_common","hpa_brain_prot","meritxell_spermatid_expr","intersection(nDEG, matos_neuron)","union(H,matos_common)","","mult_copy","all_post_mei_expr","msci","msci_esc","my_primate_codeml","","cDEG","nDEG","primate_ampl_multi","gametologs","xi","xi_escape","xi_uncertain","xi_any_evidence","expr_mod_xi_copynr_fibrobl","expr_mod_xi_copynr_lcl","reg_sa_pheno","ari_relate_EUR","ari_relate_ASIA","ari_relate_AFR","ari_nonPUR","ari_relate_PUR","ari_all","candidates","ech75_regions","ech90_regions","accel_reg_simiiformes_br","sfari_all_conf","intel_seiz_lang","intelect_disabil","","","","","","","","","","matos_common_no_xy_gametologs","","","","","","","","","","","","","","",""
"ABCB7","A1BG","ABCB7","ABCB7","ABCB7","ABCB7","ABCB7","AFF2","ABCB7","","CSF2RA","","","","ABCD1","CFAP47","AFF2","AFF2","ARMCX6","AKAP17AX","ABCB7","AFF2","AMER1","AFF2","ACOT9","CA5B","ARX","DMD","CLCN4","Polygenic response of sex chromosomes to sexual","ACSL4","AFF2","ACSL4","ACTRT1","ABCB7","ABCB7","ACSL4","AFF2","ABCB7","ABCD1","AKAP14","ABCD1","AFF2","AKAP14","ABCB7","AKAP14","AFF2","CDKL5","AFF2","ABCB7","AFF2","","","CFAP47","","","","","","","","","","",""
"ABCD1","A1CF","ABCD1","ABCD1","ABCD1","ABCD1","ABCD1","ALG13","ABCD1","","SLC25A6","","","","ACE2","DDX3X","CDKL5","AKAP14","ATXN3L","AMELX","ABCD1","AKAP17A","ARHGEF9","AKAP17A","AMMECR1","DDX3X","AVPR2","IL1RAPL1","DMD","AMMECR1","BCOR","AMMECR1","AFF2","AFF2","ACTRT1","ACTRT1","AF241726.2","AGTR2","ABCD1","ACSL4","ALG13","ACE2","AKAP14","amplicon-chrX-BIG-FAMILY-B","ABCD1","amplicon-chrX-BIG-FAMILY-B","AKAP14","DIAPH2","CDKL5","ABCD1","AKAP17A","","","","AFF2","","","","","","","","","",""
"ACE2","A2M","ACOT9","ACOT9","ACOT9","ACOT9","ACE2","ATP11C","ACOT9","","ARSL","","","","AKAP14","DIAPH2","DIAPH2","ALG13","C16ORF89","ASMTX","ACOT9","ALG13","BEX5","ALG13","CXorf38","DNASE1L1","CFAP47 / CXorf22","LOC112268307","FRMPD4","ARSL","CASK","ARHGAP36","AMMECR1","AKAP4","AKAP4","AKAP4","AFF2","AP1S2","ACSL4","AFF2","amplicon-chrX-BIG-FAMILY-B","ACE2-DT","ALG13","amplicon-chrX-CPXCR1","ACE2","amplicon-chrX-CPXCR1","amplicon-chrX-BIG-FAMILY-B","HDAC6","DIAPH2","ACOT9","ALG13","","","DDX3X","","","IQSEC2","","","","","","","",""
"ACE2-DT","AAAS","ACSL4","ACSL4","ADGRG2","ACSL4","ACOT9","ATRX","ADGRG2","","SPANX","","","","AKAP4","DYNLT3","EIF1AX","amplicon-chrX-BIG-FAMILY-B","CENPVL","BCORX","ACSL4","AP1S2","CMC4","AMER1","DDX3X","FMR1","CLIC2","MIR325HG","IL1RAPL1","BCOR","CDKL5","ARSL","ARHGAP36","ALG13","ALG13","ALG13","AKAP14","AR","AFF2","AIFM1","amplicon-chrX-CPXCR1","ACOT9","amplicon-chrX-BIG-FAMILY-B","amplicon-chrX-CXorf49/B","ACE2-DT","amplicon-chrX-CXorf49/B","amplicon-chrX-CPXCR1","HTR2C","EIF1AX","ADGRG2","AP1S2","","","","CDKL5","","HUWE1","","","","","","","",""
"ACOT9","AACS","ADGRG2","ADGRG2","ADGRG4","AFF2","ACSL4","BEX2","ADGRG4","","PRKX","","","","ARHGEF9","EDA","FHL1","amplicon-chrX-CPXCR1","CSAG","CCNQX","AIFM1","ARSD","F8A1","AP1S2","EIF1AX","GDI1","DUSP9","NHS","LOC101928359","CASK","CLCN4","CFAP47","ARSL","ATRX","AMMECR1","ARHGAP36","AL133500.1","ARHGEF9","AIFM1","ALG13","amplicon-chrX-CXorf49/B","ACSL4","amplicon-chrX-CPXCR1","amplicon-chrX-CXorf51A/B","ACOT9","amplicon-chrX-CXorf51A/B","amplicon-chrX-CXorf49/B","IGBP1","FHL1","ADGRG4","ARSD","","","DIAPH2","DIAPH2","X","PRICKLE3","","","","","","","",""
"ACSL4","AADAT","ADGRG4","ADGRG4","AIFM1","AIFM1","ADGRG2","BRWD3","AIFM1","","NLGN3","","","","ARSF","EIF1AX","HDAC6","amplicon-chrX-CXorf49/B","CT45A","DDX3X","AMMECR1","ASMTL","F8A3","ARHGEF9","GRIPAP1","GPR174","IL1RAPL2","PHKA1","PASD1","CDKL5","FRMPD4","CLCN5","BCOR","AR","ARHGAP36","ATP7A","ALG13","ARX","ALG13","AMER1","amplicon-chrX-CXorf51A/B","ADGRG2","amplicon-chrX-CXorf49/B","amplicon-chrX-DDX53","ACSL4","amplicon-chrX-DDX53","amplicon-chrX-CXorf51A/B","LL0XNC01-250H12.3","HDAC6","AIFM1","ASMTL","","","DYNLT3","","","HDAC6","","","","","","","",""
"ACTRT1","AAED1","AFF2","AFF2","AKAP17A","AKAP14","ADGRG4","CDKL5","AKAP17A","","VCX2","","","","ASB9","EMD","HTR2C","amplicon-chrX-CXorf51A/B","CT47","DHRSX","AMOT","CA5B","FAM156B","ARSD","MBTPS2","MAP7D3","IRS4","PRKX","PRKX","DMD","G6PD","CNKSR2","CASK","BCLAF3","ATP7A","ATRX","AMMECR1","ATRX","AMER1","AP1S2","amplicon-chrX-DDX53","ADGRG4","amplicon-chrX-CXorf51A/B","amplicon-chrX-EOLA1/2/HSFX3/4","ACTRT1","amplicon-chrX-EOLA1/2/HSFX3/4","amplicon-chrX-DDX53","LOC105373184","HTR2C","AKAP17A","CA5B","","","EDA","","","DIAPH2","","","","","","","",""
"ADGRG2","AAGAB","AIFM1","AIFM1","AMOT","AKAP17A","AFF2","CFAP47","AMOT","","FAM9A","","","","ATP6AP1","HTR2C","HUWE1","amplicon-chrX-DDX53","CT55","EIF1AX","APEX2","CD99","GPRASP1","ASMTL","MED14","MPP1","L1CAM","PTCHD1-AS","WWC3","ENOX2","GNL3L","DIAPH2","CDKL5","CFAP47","ATRX","BCLAF3","AR","BCORL1","AMMECR1","ARHGEF9","amplicon-chrX-EOLA1/2/HSFX3/4","AFF2","amplicon-chrX-DDX53","amplicon-chrX-ETD1/B/ZNF75D","ADGRG2","amplicon-chrX-ETD1/B/ZNF75D","amplicon-chrX-EOLA1/2/HSFX3/4","LOC105373313","HUWE1","AMOT","CD99","","","EIF1AX","EIF1AX","","SRPX2","","","","","","","",""
"ADGRG4","AAK1","ALG13","AKAP17A","ANOS1","ALAS2","AIFM1","CHIC1","ANOS1","","CLCN4","","","","AVPR2","HUWE1","IGBP1","amplicon-chrX-EOLA1/2/HSFX3/4","CT83","EIF2S3X","APOO","CDK16","IL13RA2","BEX5","MPP1","P2RY10","LCA10","TENM1","","FAM120C","HUWE1","DMD","CFAP47","CHIC1","BCLAF3","BRCC3","ATXN3L","BRWD3","ANOS1","ARX","amplicon-chrX-ETD1/B/ZNF75D","AGTR2","amplicon-chrX-EOLA1/2/HSFX3/4","amplicon-chrX-F8/F8A1/2/3/H2AB1/2/3","ADGRG4","amplicon-chrX-F8/F8A1/2/3/H2AB1/2/3","amplicon-chrX-ETD1/B/ZNF75D","OCRL","IGBP1","ANOS1","CDK16","","","","FHL1","","SYP","","","","","","","",""
"AFF2","AAMDC","AMER1","ALG13","APEX2","ALG13","AKAP14","CLDN34","APEX2","","MID2","","","","AWAT2","IQSEC2","IQSEC2","amplicon-chrX-ETD1/B/ZNF75D","CTAG","HSFX","APOOL","CDR1","IL2RG","CA5B","PRKX","PLCXD1","LUZP4","TMLHE","","G6PD","IGSF1","EGFL6","CLCN4","CNKSR2","BRCC3","CAPN6","CASK","CACNA1F","AP1S2","ATP6AP1","amplicon-chrX-F8/F8A1/2/3/H2AB1/2/3","AIFM1","amplicon-chrX-ETD1/B/ZNF75D","amplicon-chrX-FAM47A/B/C","AFF2","amplicon-chrX-FAM47A/B/C","amplicon-chrX-F8/F8A1/2/3/H2AB1/2/3","PABIR3","IQSEC2","APEX2","CDR1","","","EMD","","","","","","","","","","",""
"AGTR2","AAMP","AMMECR1","AMER1","APOO","AMER1","AKAP4","CSTF2","APOO","","FRMPD3","","","","BHLHB9","mc_ampl_SPANXN5","LL0XNC01-250H12.3","amplicon-chrX-F8/F8A1/2/3/H2AB1/2/3","CXORF49","KDM5C","AR","CHM","KANTR","CD99","PUDP","PRKX","PJA1","XPNPEP2","","GNL3L","IL1RAPL1","ENOX2","CLCN5","DYNLT3","CAPN6","CCNB3","CD99L2","CASK","AR","ATP6AP2","amplicon-chrX-FAM47A/B/C","AKAP14","amplicon-chrX-F8/F8A1/2/3/H2AB1/2/3","amplicon-chrX-MAGEA12/A2/A2B/A3/A6","AGTR2","amplicon-chrX-MAGEA12/A2/A2B/A3/A6","amplicon-chrX-FAM47A/B/C","PDK3","LL0XNC01-250H12.3","APOO","CHM","","","","HDAC6","-","","","","","","","","",""
